Ligando,Pose,Vina_score,Intramol,CNNscore,CNNaffinity
ligando_416,1,-7.38,-0.03,0.5129,6.163
ligando_417,1,-8.87,-0.46,0.1258,6.339
ligando_418,1,-11.29,0.38,0.2459,6.843
ligando_419,1,-10.39,-0.72,0.2023,5.946
ligando_420,1,-11.15,1.16,0.6767,7.197
ligando_421,1,-9.34,-0.17,0.7567,6.63
ligando_422,1,-8.23,-1.05,0.2003,5.676
ligando_423,1,-10.22,0.87,0.3267,7.058
ligando_424,1,-8.84,-0.33,0.5811,7.078
ligando_425,1,-8.56,-0.38,0.6594,6.191
ligando_426,1,-9.24,-0.49,0.27,6.182
ligando_427,1,-9.6,-0.1,0.1953,6.778
ligando_428,1,-6.22,-0.12,0.783,4.815
ligando_429,1,-7.78,0.2,0.2854,5.601
ligando_430,1,-8.55,-0.48,0.2901,5.857
ligando_431,1,-9.29,-0.24,0.5173,6.258
ligando_432,1,-7.81,-0.7,0.1944,5.188
ligando_433,1,-8.17,0.39,0.3853,6.48
ligando_434,1,-10.81,-0.25,0.2001,5.694
ligando_435,1,-8.87,0.04,0.5263,7.503
ligando_436,1,-8.55,-0.99,0.2269,5.958
ligando_437,1,-8.42,8.1,0.2157,6.989
ligando_438,1,-9.45,0.21,0.4336,6.15
ligando_439,2,-8.71,-0.24,0.3488,6.039
ligando_440,1,-7.74,0.14,0.8563,7.224
ligando_441,1,-8.18,-0.27,0.5696,6.734
ligando_442,2,-5.97,-0.57,0.1955,5.118
ligando_443,1,-8.78,0.28,0.3565,5.722
ligando_444,1,-9.53,1.07,0.5687,6.649
ligando_445,1,-8.58,-0.27,0.585,6.271
ligando_446,1,-8.34,0.69,0.4357,5.384
ligando_447,1,-5.79,-0.26,0.3584,4.649
ligando_448,1,-6.32,0.16,0.4203,4.454
ligando_449,1,-9.59,-0.35,0.3296,6.868
ligando_450,1,-10.02,-0.89,0.4001,6.531
ligando_451,1,-9.0,-0.7,0.2327,5.923
ligando_452,1,-8.1,0.32,0.8341,7.185
ligando_453,1,-10.61,1.51,0.8281,7.36
ligando_454,1,-8.93,0.94,0.9118,7.494
ligando_455,1,-9.65,0.3,0.1579,6.257
ligando_456,1,-6.89,-0.4,0.698,4.721
ligando_457,1,-10.39,1.13,0.4916,6.337
ligando_458,1,-9.24,1.41,0.2003,6.605
ligando_459,1,-5.36,0.76,0.2801,6.444
ligando_460,1,-8.14,0.01,0.853,6.497
ligando_461,2,-7.47,0.5,0.1747,5.89
ligando_462,1,-7.3,0.47,0.6337,6.162
ligando_463,1,-8.33,-0.59,0.2715,6.214
ligando_464,2,-9.78,0.81,0.1693,5.805
ligando_465,1,-8.95,0.07,0.2922,6.197
ligando_466,1,-9.02,0.36,0.3194,6.636
ligando_467,1,-8.62,0.0,0.3472,5.856
ligando_468,1,-8.88,-0.33,0.5801,6.503
ligando_469,1,-9.74,-0.4,0.3616,7.265
ligando_470,1,-7.8,-0.01,0.2335,5.721
ligando_471,1,-8.48,0.11,0.6754,6.189
ligando_472,1,-10.23,3.37,0.2465,6.541
ligando_473,1,-7.4,-0.23,0.2099,6.012
